non_severe_asthma_with_recent_salbutamol_count,other_respiratory_conditions,heart_failure,other_heart_disease,diabetes,chronic_kidney_disease,chronic_liver_disease,other_neuro,psychosis_schiz_bipolar,asplenia,Count
0,0,0,0,0,0,0,0,0,0,821565
0,0,0,1,0,0,0,0,0,0,515281
0,0,0,1,1,0,0,0,0,0,217728
1,0,0,0,0,0,0,0,0,0,134557
0,0,0,0,1,0,0,0,0,0,113726
0,0,1,1,0,0,0,0,0,0,83762
0,0,1,0,0,0,0,0,0,0,69902
0,0,1,1,1,0,0,0,0,0,53931
1,0,0,1,0,0,0,0,0,0,49094
0,1,0,0,0,0,0,0,0,0,45932
0,0,1,0,1,0,0,0,0,0,29446
1,0,0,0,1,0,0,0,0,0,28651
1,0,0,1,1,0,0,0,0,0,24897
1,1,0,0,0,0,0,0,0,0,20223
0,0,0,0,0,0,0,1,0,0,18810
0,1,0,1,0,0,0,0,0,0,16996
0,0,0,0,0,0,0,0,1,0,14955
0,1,0,0,1,0,0,0,0,0,11578
0,0,0,0,0,0,1,0,0,0,11140
0,0,0,1,0,0,0,1,0,0,10677
0,0,0,0,0,1,0,0,0,0,10385
1,0,1,1,0,0,0,0,0,0,9024
0,1,0,1,1,0,0,0,0,0,8732
1,0,1,0,0,0,0,0,0,0,7995
1,0,1,1,1,0,0,0,0,0,6851
1,1,0,0,1,0,0,0,0,0,6270
1,1,0,1,0,0,0,0,0,0,5706
0,1,1,1,0,0,0,0,0,0,5413
0,0,0,1,0,0,0,0,1,0,5149
0,0,0,1,1,0,0,1,0,0,4818
0,1,1,0,0,0,0,0,0,0,4733
0,0,0,0,1,1,0,0,0,0,4367
0,0,0,1,0,0,1,0,0,0,4337
1,0,1,0,1,0,0,0,0,0,4206
0,1,1,1,1,0,0,0,0,0,4108
0,0,0,0,1,0,1,0,0,0,3961
0,0,0,0,1,0,0,0,1,0,3907
0,0,0,1,1,0,1,0,0,0,3485
1,1,0,1,1,0,0,0,0,0,3384
0,0,0,0,0,0,0,0,0,1,3086
0,0,0,1,1,0,0,0,1,0,2990
1,0,0,0,0,0,0,0,1,0,2663
0,0,0,0,1,0,0,1,0,0,2652
1,0,0,0,0,0,0,1,0,0,2383
0,1,1,0,1,0,0,0,0,0,2305
0,0,1,1,0,0,0,1,0,0,2005
1,0,0,0,0,0,1,0,0,0,1830
1,1,1,0,0,0,0,0,0,0,1793
1,1,1,1,0,0,0,0,0,0,1780
0,0,1,0,0,0,0,1,0,0,1683
0,0,0,1,1,1,0,0,0,0,1600
0,0,0,1,0,1,0,0,0,0,1573
1,1,1,1,1,0,0,0,0,0,1532
0,1,0,0,0,0,0,1,0,0,1507
0,0,1,1,1,0,0,1,0,0,1282
0,0,0,1,0,0,0,0,0,1,1232
0,0,1,1,1,0,1,0,0,0,1105
1,0,0,1,0,0,0,1,0,0,1070
0,0,1,1,0,0,1,0,0,0,1068
0,0,1,0,0,0,1,0,0,0,1048
0,1,0,0,0,0,0,0,1,0,1020
0,1,0,0,0,0,1,0,0,0,918
1,0,0,0,1,0,0,0,1,0,913
1,1,1,0,1,0,0,0,0,0,912
0,0,1,1,0,0,0,0,1,0,898
1,0,0,0,0,1,0,0,0,0,871
0,0,1,0,0,0,0,0,1,0,860
1,0,0,0,1,0,1,0,0,0,757
0,0,0,0,1,0,0,0,0,1,756
0,0,1,0,1,0,1,0,0,0,750
0,0,1,1,1,1,0,0,0,0,741
0,0,1,0,1,0,0,1,0,0,697
0,0,0,1,1,0,0,0,0,1,672
1,0,0,1,0,0,0,0,1,0,671
0,0,1,1,1,0,0,0,1,0,668
1,0,0,1,1,0,0,1,0,0,638
